Opcodes: 39,opcode (5-bit) group,funct4 (4-bit) operation,funct3 (3-bit) variant,rd (4-bit),rs1 (4-bit),rs2 (4-bit),imm[bits],Description,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
NOP,0x0,0x0,0x0,-,-,-,-,No Operation,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20]
HALT,0x0,0x1,0x0,-,-,-,-,Halt (stop or wait for interrupt),opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20],padding[20]
ADD,0x1,0x0,0x0,rd,rs1,rs2,-,"rd = rs1 + rs2 — Adds contents of registers rs1 and rs2, stores result in rd.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,r3,r3,r3,r3,padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8]
SUB,0x1,0x1,0x0,rd,rs1,rs2,-,"rd = rs1 - rs2 — Subtracts rs2 from rs1, stores result in rd.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,r3,r3,r3,r3,padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8]
MUL,0x1,0x2,0x0,rd,rs1,rs2,-,"rd = rs1 * rs2 — Multiplies rs1 by rs2, stores result in rd.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,r3,r3,r3,r3,padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8]
DIV,0x1,0x3,0x0,rd,rs1,rs2,-,"rd = rs1 / rs2 — Divides rs1 by rs2, stores result in rd.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,r3,r3,r3,r3,padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8],padding[8]
ADDI,0x1,0x0,0x1,rd,rs1,-,imm[12],"rd = rs1 + imm — Adds immediate 12-bit signed imm to rs1, stores result in rd.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
SUBI,0x1,0x1,0x1,rd,rs1,-,imm[12],"rd = rs1 - imm — Subtracts immediate 12-bit signed imm from rs1, stores in rd.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
MULI,0x1,0x2,0x1,rd,rs1,-,imm[12],"rd = rs1 * imm — Multiplies rs1 by immediate imm, stores result in rd.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
DIVI,0x1,0x3,0x1,rd,rs1,-,imm[12],"rd = rs1 / imm — Divides rs1 by immediate imm, stores result in rd.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
LUI,0x2,0x0,0x0,rd,-,-,imm[16],"Higher Load Upper Immediate — loads upper bits of a 16-bit immediate, usually for high part of an address.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16
AUIPC,0x2,0x1,0x0,rd,-,-,imm[16],"PC + (imm[16] << 0) — Load Address Upper Immediate PC, used for position-independent code.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16
SB,0x3,0x0,0x0,-,rs1,rs2,imm[12],Stores byte (8 bits) from rs2 to MEM[rs1 + imm].,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
SH,0x3,0x1,0x0,-,rs1,rs2,imm[12],Stores halfword (16 bits) from rs2 to MEM[rs1 + imm].,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
SW,0x3,0x2,0x0,-,rs1,rs2,imm[12],Stores word (32 bits) from rs2 to MEM[rs1 + imm].,opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
BEQ,0x4,0x0,0x0,-,rs1,rs2,imm[12],"Branch if rs1 == rs2, PC += imm[12] (relative jump).",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
BNE,0x4,0x1,0x0,-,rs1,rs2,imm[12],"Branch if rs1 != rs2, PC += imm[12].",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
BLT,0x4,0x2,0x0,-,rs1,rs2,imm[12],"Branch if rs1 < rs2 (signed), PC += imm[12].",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
BGT,0x4,0x3,0x0,-,rs1,rs2,imm[12],"Branch if rs1 > rs2 (signed), PC += imm[12].",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
BLE,0x4,0x4,0x0,-,rs1,rs2,imm[12],"Branch if rs1 <= rs2 (signed), PC += imm[12].",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
BGE,0x4,0x5,0x0,-,rs1,rs2,imm[12],"Branch if rs1 >= rs2 (signed), PC += imm[12].",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
JAL,0x5,0x1,0x0,rd,-,-,imm[16],"Jump and link: saves PC+4 in rd, jumps to rs1 + imm[12].",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16,imm16
JALR,0x5,0x2,0x0,rd,rs1,-,imm[12],"Jump and link register: jumps to rs1 + imm[12], saves return address in rd.",opcode,opcode,opcode,opcode,opcode,funct4,funct4,funct4,funct4,funct3,funct3,funct3,r1,r1,r1,r1,r2,r2,r2,r2,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12,imm12
